frame_size,page_fault,hit_rate,miss_rate
597,251.000000,0.749000,0.251000
598,251.000000,0.749000,0.251000
599,251.000000,0.749000,0.251000
600,251.000000,0.749000,0.251000
601,251.000000,0.749000,0.251000
602,251.000000,0.749000,0.251000
603,251.000000,0.749000,0.251000
604,251.000000,0.749000,0.251000
605,251.000000,0.749000,0.251000
606,251.000000,0.749000,0.251000
607,251.000000,0.749000,0.251000
608,251.000000,0.749000,0.251000
609,251.000000,0.749000,0.251000
610,251.000000,0.749000,0.251000
611,251.000000,0.749000,0.251000
612,251.000000,0.749000,0.251000
613,251.000000,0.749000,0.251000
614,251.000000,0.749000,0.251000
615,251.000000,0.749000,0.251000
616,251.000000,0.749000,0.251000
617,251.000000,0.749000,0.251000
618,251.000000,0.749000,0.251000
619,251.000000,0.749000,0.251000
620,251.000000,0.749000,0.251000
621,251.000000,0.749000,0.251000
622,251.000000,0.749000,0.251000
623,251.000000,0.749000,0.251000
624,251.000000,0.749000,0.251000
625,251.000000,0.749000,0.251000
626,251.000000,0.749000,0.251000
627,251.000000,0.749000,0.251000
628,251.000000,0.749000,0.251000
629,251.000000,0.749000,0.251000
630,251.000000,0.749000,0.251000
631,251.000000,0.749000,0.251000
632,251.000000,0.749000,0.251000
633,251.000000,0.749000,0.251000
634,251.000000,0.749000,0.251000
635,251.000000,0.749000,0.251000
636,251.000000,0.749000,0.251000
637,251.000000,0.749000,0.251000
638,251.000000,0.749000,0.251000
639,251.000000,0.749000,0.251000
640,251.000000,0.749000,0.251000
641,251.000000,0.749000,0.251000
642,251.000000,0.749000,0.251000
643,251.000000,0.749000,0.251000
644,251.000000,0.749000,0.251000
645,251.000000,0.749000,0.251000
646,251.000000,0.749000,0.251000
647,251.000000,0.749000,0.251000
648,251.000000,0.749000,0.251000
649,251.000000,0.749000,0.251000
650,251.000000,0.749000,0.251000
651,251.000000,0.749000,0.251000
652,251.000000,0.749000,0.251000
653,251.000000,0.749000,0.251000
654,251.000000,0.749000,0.251000
655,251.000000,0.749000,0.251000
656,251.000000,0.749000,0.251000
657,251.000000,0.749000,0.251000
658,251.000000,0.749000,0.251000
659,251.000000,0.749000,0.251000
660,251.000000,0.749000,0.251000
661,251.000000,0.749000,0.251000
662,251.000000,0.749000,0.251000
663,251.000000,0.749000,0.251000
664,251.000000,0.749000,0.251000
665,251.000000,0.749000,0.251000
666,251.000000,0.749000,0.251000
667,251.000000,0.749000,0.251000
668,251.000000,0.749000,0.251000
669,251.000000,0.749000,0.251000
670,251.000000,0.749000,0.251000
671,251.000000,0.749000,0.251000
672,251.000000,0.749000,0.251000
673,251.000000,0.749000,0.251000
674,251.000000,0.749000,0.251000
675,251.000000,0.749000,0.251000
676,251.000000,0.749000,0.251000
677,251.000000,0.749000,0.251000
678,251.000000,0.749000,0.251000
679,251.000000,0.749000,0.251000
680,251.000000,0.749000,0.251000
681,251.000000,0.749000,0.251000
682,251.000000,0.749000,0.251000
683,251.000000,0.749000,0.251000
684,251.000000,0.749000,0.251000
685,251.000000,0.749000,0.251000
686,251.000000,0.749000,0.251000
687,251.000000,0.749000,0.251000
688,251.000000,0.749000,0.251000
689,251.000000,0.749000,0.251000
690,251.000000,0.749000,0.251000
691,251.000000,0.749000,0.251000
692,251.000000,0.749000,0.251000
693,251.000000,0.749000,0.251000
694,251.000000,0.749000,0.251000
695,251.000000,0.749000,0.251000
696,251.000000,0.749000,0.251000
697,251.000000,0.749000,0.251000
698,251.000000,0.749000,0.251000
699,251.000000,0.749000,0.251000
700,251.000000,0.749000,0.251000
701,251.000000,0.749000,0.251000
702,251.000000,0.749000,0.251000
703,251.000000,0.749000,0.251000
704,251.000000,0.749000,0.251000
705,251.000000,0.749000,0.251000
706,251.000000,0.749000,0.251000
707,251.000000,0.749000,0.251000
708,251.000000,0.749000,0.251000
709,251.000000,0.749000,0.251000
710,251.000000,0.749000,0.251000
711,251.000000,0.749000,0.251000
712,251.000000,0.749000,0.251000
713,251.000000,0.749000,0.251000
714,251.000000,0.749000,0.251000
715,251.000000,0.749000,0.251000
716,251.000000,0.749000,0.251000
717,251.000000,0.749000,0.251000
718,251.000000,0.749000,0.251000
719,251.000000,0.749000,0.251000
720,251.000000,0.749000,0.251000
721,251.000000,0.749000,0.251000
722,251.000000,0.749000,0.251000
723,251.000000,0.749000,0.251000
724,251.000000,0.749000,0.251000
725,251.000000,0.749000,0.251000
726,251.000000,0.749000,0.251000
727,251.000000,0.749000,0.251000
728,251.000000,0.749000,0.251000
729,251.000000,0.749000,0.251000
730,251.000000,0.749000,0.251000
731,251.000000,0.749000,0.251000
732,251.000000,0.749000,0.251000
733,251.000000,0.749000,0.251000
734,251.000000,0.749000,0.251000
735,251.000000,0.749000,0.251000
736,251.000000,0.749000,0.251000
737,251.000000,0.749000,0.251000
738,251.000000,0.749000,0.251000
739,251.000000,0.749000,0.251000
740,251.000000,0.749000,0.251000
741,251.000000,0.749000,0.251000
742,251.000000,0.749000,0.251000
743,251.000000,0.749000,0.251000
744,251.000000,0.749000,0.251000
745,251.000000,0.749000,0.251000
746,251.000000,0.749000,0.251000
747,251.000000,0.749000,0.251000
748,251.000000,0.749000,0.251000
749,251.000000,0.749000,0.251000
750,251.000000,0.749000,0.251000
751,251.000000,0.749000,0.251000
752,251.000000,0.749000,0.251000
753,251.000000,0.749000,0.251000
754,251.000000,0.749000,0.251000
755,251.000000,0.749000,0.251000
756,251.000000,0.749000,0.251000
757,251.000000,0.749000,0.251000
758,251.000000,0.749000,0.251000
759,251.000000,0.749000,0.251000
760,251.000000,0.749000,0.251000
761,251.000000,0.749000,0.251000
762,251.000000,0.749000,0.251000
763,251.000000,0.749000,0.251000
764,251.000000,0.749000,0.251000
765,251.000000,0.749000,0.251000
766,251.000000,0.749000,0.251000
767,251.000000,0.749000,0.251000
768,251.000000,0.749000,0.251000
769,251.000000,0.749000,0.251000
770,251.000000,0.749000,0.251000
771,251.000000,0.749000,0.251000
772,251.000000,0.749000,0.251000
773,251.000000,0.749000,0.251000
774,251.000000,0.749000,0.251000
775,251.000000,0.749000,0.251000
776,251.000000,0.749000,0.251000
777,251.000000,0.749000,0.251000
778,251.000000,0.749000,0.251000
779,251.000000,0.749000,0.251000
780,251.000000,0.749000,0.251000
781,251.000000,0.749000,0.251000
782,251.000000,0.749000,0.251000
783,251.000000,0.749000,0.251000
784,251.000000,0.749000,0.251000
785,251.000000,0.749000,0.251000
786,251.000000,0.749000,0.251000
787,251.000000,0.749000,0.251000
788,251.000000,0.749000,0.251000
789,251.000000,0.749000,0.251000
790,251.000000,0.749000,0.251000
791,251.000000,0.749000,0.251000
792,251.000000,0.749000,0.251000
793,251.000000,0.749000,0.251000
794,251.000000,0.749000,0.251000
795,251.000000,0.749000,0.251000
796,251.000000,0.749000,0.251000
797,251.000000,0.749000,0.251000
798,251.000000,0.749000,0.251000
799,251.000000,0.749000,0.251000
800,251.000000,0.749000,0.251000
801,251.000000,0.749000,0.251000
802,251.000000,0.749000,0.251000
803,251.000000,0.749000,0.251000
804,251.000000,0.749000,0.251000
805,251.000000,0.749000,0.251000
806,251.000000,0.749000,0.251000
807,251.000000,0.749000,0.251000
808,251.000000,0.749000,0.251000
809,251.000000,0.749000,0.251000
810,251.000000,0.749000,0.251000
